district,county,current_per_adm,instruction_per_adm,prof_alg,prof_bio,prof_eng,prof_alg_dis,prof_alg_black
Riverview SD,Allegheny,23425.82,14449.5,29.6,52.5,55.7,16.1,NA
Shaler Area SD,Allegheny,23452.19,15939.94,49.2,58.1,74.3,37.1,NA
South Allegheny SD,Allegheny,19646.38,13238.48,29.2,34.6,51.4,24.6,0
South Fayette Township SD,Allegheny,17744.06,10637.18,79.3,84.4,88.8,56.3,NA
South Park SD,Allegheny,18950.14,12144.06,71.4,57.8,79.7,57.1,NA
Steel Valley SD,Allegheny,NA,NA,22.5,29.6,41.3,17.5,11.5
Sto-Rox SD,Allegheny,18961.99,12103.67,0,3.6,13.8,0,0
Upper St. Clair SD,Allegheny,22689.92,13696.9,74.6,83.7,93.5,61.5,NA
West Allegheny SD,Allegheny,19404.12,10949.69,60.3,60.5,80.6,42.6,NA
West Jefferson Hills SD,Allegheny,16022,10294.94,58.9,74.7,86.9,39.2,NA
West Mifflin Area SD,Allegheny,26257.16,16903.03,10.5,32,37.1,10.5,10.4
Wilkinsburg Borough SD,Allegheny,31865.32,22493.5,NA,NA,NA,,NA
Woodland Hills SD,Allegheny,26304.23,17736,6.8,27.4,34.3,2,1.1
Apollo-Ridge SD,Armstrong,21288.01,13672.96,25.5,64.6,67.7,21.4,NA
Armstrong SD,Armstrong,20296.54,14070.14,59,65.9,75.6,39,NA
Freeport Area SD,Armstrong,17942.83,11286,63.5,67.5,78.2,31.4,NA
Leechburg Area SD,Armstrong,21442.55,13879.14,69,75.6,92.9,73.7,NA
Aliquippa SD,Beaver,22989.52,15469.47,4.3,4.3,33.3,0,2.9
Ambridge Area SD,Beaver,16625.63,11328.15,18.4,29.5,55.2,13.8,0
Beaver Area SD,Beaver,17193.08,9761.19,51.5,63.2,84.4,28.2,15.6
Big Beaver Falls Area SD,Beaver,19613.82,12275.86,23.9,24.8,55.8,17.3,NA
Blackhawk SD,Beaver,16474.03,10656.6,46.5,61.8,72.4,30.8,NA
Central Valley SD,Beaver,17191.85,11538.68,56.6,63.4,75.3,42.3,33.3
Freedom Area SD,Beaver,20521.76,13425.74,37.8,42.1,68,35.7,NA
Hopewell Area SD,Beaver,19440.26,12972.21,49.6,41.4,63.8,44,NA
Midland Borough SD,Beaver,19103.32,12931.24,NA,NA,NA,NA,NA
New Brighton Area SD,Beaver,21062.44,12937,41.3,43.5,53.3,28.8,NA
Riverside Beaver County SD,Beaver,17134.78,10546.07,46.4,50,68.5,28.9,NA
Rochester Area SD,Beaver,23926.16,15471.82,41.4,43.1,62.1,25,35.3
